165196008,1.78,28,0.32,37,
166552504,1.78,28,5.16,38,
168409448,1.78,28,3.77,39,3213440
169761480,1.78,28,5.18,40,3208976
171618648,1.78,28,3.77,41,3209200
172964184,1.78,28,5.2,42,3202704
174823128,1.78,28,3.76,43,3204480
176161704,1.78,28,5.23,44,3197520
178022680,1.78,28,3.76,45,3199552
179354328,1.78,28,5.26,46,3192624
181217512,1.78,28,3.76,47,3194832
182541992,1.78,28,5.28,48,3187664
184407640,1.78,28,3.75,49,3190128
185724728,1.78,28,5.31,50,3182736
187593320,1.78,28,3.75,51,3185680
188902328,1.78,28,5.35,52,3177600
190774280,1.78,28,3.74,53,3180960
192075464,1.78,28,5.38,54,3173136
193951000,1.78,28,3.73,55,3176720
195243464,1.78,28,5.41,56,3168000
197148328,1.78,28,3.67,57,3197328
